Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
V663 CYG,1,1,2448499.418000 30 Aug 1991 22:01:55.200000,2448499.418000 30 Aug 1991 22:01:55.200000,10.600,10.600,0.000 
V664 CAS,1,1,2450312.523600 17 Aug 1996 00:33:59.040000,2450312.523600 17 Aug 1996 00:33:59.040000,14.300,14.300,0.000 
V666 CAS,115,2,2447468.476000 2 Nov 1988 23:25:26.400000,2450807.401000 24 Dec 1997 21:37:26.400000,9.400,12.500,3.100 
V667 CAS,119,2,2447500.380000 4 Dec 1988 21:07:12.000000,2455254.302800 26 Feb 2010 19:16:01.920000,8.600,15.800,7.200 
V673 CYG,1,1,2456151.441000 11 Aug 2012 22:35:02.400000,2456151.441000 11 Aug 2012 22:35:02.400000,14.300,14.300,0.000 
V677 ORI,1,1,2453739.363200 3 Jan 2006 20:43:00.480000,2453739.363200 3 Jan 2006 20:43:00.480000,13.600,13.600,0.000 
V686 CYG,1,1,2448092.494000 19 Jul 1990 23:51:21.600000,2448092.494000 19 Jul 1990 23:51:21.600000,10.100,10.100,0.000 
V686 MON,36,7,2446864.406200 9 Mar 1987 21:44:55.680000,2456352.952000 1 Mar 2013 10:50:52.800000,8.370,15.000,6.630 
V693 CRA,2,1,2456552.924000 17 Sep 2013 10:10:33.600000,2456584.887000 19 Oct 2013 09:17:16.800000,11.900,11.900,0.000 
V694 MON,99,2,2457447.389000 28 Feb 2016 21:20:09.600000,2459691.370000 21 Apr 2022 20:52:48.000000,8.200,10.300,2.100 
V697 CYG,13,2,2444819.444000 2 Aug 1981 22:39:21.600000,2456271.343000 9 Dec 2012 20:13:55.200000,8.100,9.200,1.100 
V701 TAU,577,6,2449985.480500 24 Sep 1995 23:31:55.200000,2459877.590000 25 Oct 2022 02:09:36.000000,13.400,18.200,4.800 
V705 CAS,983,15,2449335.388000 13 Dec 1993 21:18:43.200000,2451909.292300 30 Dec 2000 19:00:54.720000,5.410,16.130,10.720 
V707 CAS,40,1,2450343.394000 16 Sep 1996 21:27:21.600000,2451815.310000 27 Sep 2000 19:26:24.000000,12.500,13.600,1.100 
